task_order,task_id,image_sha256,axis_code,intended_role,expected_observed_target_state,source_lineage,source_batch
157,V-20D93A2E49931543,1D0B8F2FD173DB4C86B3D113CDEE6A5DE78B74B6C3859848ECF6240C22525C78,A3,anomaly_present,target_present,expansion,image_gen_v2
158,V-D5C98F96D53BDAD4,D1583E339203B185E65EA5D61E4AE8461798AD37BA08A3B12FC976B142F200DE,A3,target_absent_control,target_absent,expansion,synthetic_generation_v1
159,V-9B276C9FF5832386,B4C6DEC54F19454636CF4700A5D62D84E8BBF5ED05A1B0EFC7662E73C59B59E8,A5,anomaly_present,target_present,pilot,legacy_prcv_64
160,V-F9542F0F283FEC91,5175AED8B585FB7775791718703730305AB218A01436A9A4CCED6ED9CFE518F4,A6,anomaly_present,target_present,expansion,image_gen_v2
161,V-BE0DF166EAA7B122,1C141F035937EA694856D3C7BE53DE5D68326C3CF0593432C7716AA012F58B70,A2,target_absent_control,target_absent,pilot,legacy_prcv_64
162,V-FADF519D9EDE8FD5,B26A0DF50CDE370B1C97AA1327CBFC2E971CEFE5415158E552DF492CF6265A43,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
163,V-83E6532574F8F28A,46FA09D73F154E2FD99C87AF8C4DA86CF47FBEBCA43E617C7E71F4A56F69BC97,A1,target_absent_control,target_absent,expansion,synthetic_generation_v1
164,V-9590C93D7B47574E,D58C17AAA8F8E505BF3E4A642550C292C534EDA4652A06F50B78043B0D5853E7,A7,anomaly_present,target_present,pilot,legacy_prcv_64
165,V-F9EC4E0145CCB6BD,2D42D7F91A92DAE28C9884628089F1571CBD4694118EFE19813D4CAB2D5E842D,A5,anomaly_present,target_present,expansion,image_gen_v2
166,V-958F898C176AD102,1A18084EFF47B3A9BFAA8863AE33ECDEFB51B190ED3463109774ED981FECDF74,A7,anomaly_present,target_present,expansion,image_gen_v2
167,V-B72F0D0F082C772C,B152345A215D9CBCAE1B4D57A28E73AB43842AD2D5E0662837CA02FDBBB5B43C,A4,target_absent_control,target_absent,pilot,legacy_prcv_64
168,V-FE63C16DC26F668C,6EFEFBBFFA2A6A4B58549D6480CFB12B56FC03A85B6193F022269B208979E239,A4,anomaly_present,target_present,expansion,synthetic_batch_1_16
169,V-FD89B9BC43272DDA,A6C40A6D67DC7BE741C5B22DF05FFDE8F67FBCB1FE57144EB9A0FCAF0E7203CA,A8,anomaly_present,target_present,expansion,image_gen_v2
170,V-37BCC1329610F6EF,D7104290E417587E2039A8F91DD95DA77AC3B0F50E6CB568DD724BA689374C32,A8,anomaly_present,target_present,expansion,image_gen_v2
171,V-0AD28A8CFDCDC213,B2E64B960E8151B6F804CE31C464762D0BF3910BA235530C563A9AE8C6DCB59A,A3,anomaly_present,target_present,expansion,image_gen_v2
172,V-5CC7A3554428CC18,0E7578D1DB526DCFE00C32D63C241F453EA572F8B28E9BDE5D862D345F995A1B,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
173,V-79AEBCB359E4B83C,828EC143AC3A1AB863461D98DF0EE8C1C166A1AB6B54019CC18E5949DD5A1FA9,A4,anomaly_present,target_present,pilot,legacy_prcv_64
174,V-CADA52157C62A074,BB59449CDE02BA6253152052108DF50BC0610B1F50AE2883CB0E132CD6330E2B,A8,anomaly_present,target_present,expansion,image_gen_v2
175,V-6E88960610947704,A9882E12826C76613AA44A4DDDD50F7DE1B8E33BFFE1DC6F988DA846C9B4C569,A7,anomaly_present,target_present,expansion,image_gen_v2
176,V-3E5F60BE7540D61F,98A98B52BD31A7BA7E1A54802CA03DD193BB4637B9E6DAE86391BBDAC9A84FFB,A7,anomaly_present,target_present,pilot,legacy_prcv_64
177,V-D315C6CA257F534F,EA9054A63D8390C178CBF19DC6A9AF13E847D52DFD02E7E25F5CCF80D0FEF2AD,A7,anomaly_present,target_present,expansion,synthetic_batch_1_16
178,V-A9B35DA151371B8B,1F4EC0ECC92E4BC06A53C4401D0ECFE5547F85FC0E671FBE30FA71FB747F6871,A4,target_absent_control,target_absent,expansion,synthetic_generation_v1
179,V-A82C75F3F38698D0,91F1DA99C708E848EBB46FD3BB6F18C5E9620F629AD87D80DD2434E43090C1EB,A6,anomaly_present,target_present,pilot,legacy_prcv_64
180,V-6810FD94B4933EA2,7CA82BC15D35BB2643E4F1CB2C192FB407D792AFB4B1838C7BC962984E9FD119,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
181,V-21B5B9F9C63E0BBA,B8FA998C175589EF79C6B752E8162CFBB6FEAB85E6285063F37809A2D8409157,A6,target_absent_control,target_absent,expansion,image_gen_v2
182,V-9A07ED6733C9138B,1D6F359F66F6E4EAC578A11A1C29934DDA0BEB4E3B92F93B093C5C2B1FB9064E,A5,anomaly_present,target_present,expansion,image_gen_v2
183,V-1B5E6A0CB0F6FAC5,871FD4AE409F6ACA79B895DE8A4290DD2E864C351C4A8F38E0EBA42009CE18BD,A4,target_absent_control,target_absent,pilot,legacy_prcv_64
184,V-0B364D577E43A6D3,7D7BC050AC440659A666AD9D3418EEAB57EFDEAC086BC0F539165F7A6D1FDB47,A4,target_absent_control,target_absent,expansion,synthetic_batch_1_16
185,V-182F8DC3D5E07858,B912342AA2E96763405DA1599FE81B84C65295B4F4126F6155D569B6FEEBC1CA,A7,target_absent_control,target_absent,expansion,image_gen_v2
186,V-F45BA8A59D14C007,10801AD7940A3E3406E82EAE3A774B23EDD23D14AA9227AAC169500DC2C3AE5E,A5,anomaly_present,target_present,pilot,legacy_prcv_64
187,V-9EBE4A5E86F917E6,F054C1C5B52D91706FE2E943A3C6AA22B55E5AFB164AAD396B4005C9C60C77F0,A7,anomaly_present,target_present,pilot,legacy_prcv_64
188,V-ECC09C3D01625262,615F9BE79ADAAD25A2F59689DF46A3E63D9FCDD378D0C90E6E946712746347AA,A7,target_absent_control,target_absent,expansion,image_gen_v2
189,V-8E67482304FA6D13,82168CE72790DA8BAA75DD0134F267EEA8A1CBAB77F690C0FF5010985526F6DE,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
190,V-769471A10047C8D5,03AD21FE220A351BF3C745AE91E44FF7CD9C6C3DA4D05EC9F1A55CCD658D5747,A7,anomaly_present,target_present,expansion,image_gen_v2
191,V-E445A4894F5CED52,EE1E4420F05EB8DEAA29590031B897EF7B1283C4B1B3511E768C94D059F3CBAA,A7,anomaly_present,target_present,expansion,image_gen_v2
192,V-62FD64838EF039F8,F0DE163B016277F5A72FE57B06F6DFF21134184423B4739247185741C4BF54C0,A3,anomaly_present,target_present,expansion,image_gen_v2
193,V-01A171F0D0FC9C58,578CB10C9856D9FC63116C6BAD643B10A3592E621A929838DDB211DCF361F52A,A2,target_absent_control,target_absent,pilot,legacy_prcv_64
194,V-55B26AF4AE8FFF9F,4EE80DE315E0738C09AF04B843D0446304608385AF513143A7234E942A156AEE,A5,target_absent_control,target_absent,pilot,legacy_prcv_64
195,V-89AAC85504B971AC,9EFE0AC68D0B3FA3E9B4D3FDDC48396EE2756F79785C9D5B9D0B14BF645A36E3,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
196,V-C915EBDAA68440F7,3C25F6D6409171473BEA6EC59F07536627444AE7DF702BB0CF22AC0C8D2A716E,A8,anomaly_present,target_present,pilot,legacy_prcv_64
197,V-3D12A5B18DD36A44,7D4FC7B373E8EDFEA9346F20D4DDD243B5F5A9AE4D0D0A62D081133B18E0D72D,A6,anomaly_present,target_present,expansion,image_gen_v2
198,V-299135255A9C014E,B184F16F1D61C1F0500CDF742FB17FBC09B04A47B1126B6EC826B3CC69DC8E8D,A6,anomaly_present,target_present,expansion,image_gen_v2
199,V-C1715A01A925A995,177347920EF30AA243D15E7FECCDB1E1A97FAEE43E6D120A7F65070BB0E04E9A,A3,anomaly_present,target_present,expansion,image_gen_v2
200,V-BFCFF8E66830ADED,D4BC4FE8CCDD299B7DC241839DA11EF2E323F03F7778A4FE5BCA1811375FFB6D,A6,target_absent_control,target_absent,expansion,image_gen_v2
